le2m | 19/12/2015 - 10:34:53 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:34:53 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:35:00 | INFO | Ok Récapitulatif
le2m | 19/12/2015 - 10:35:00 | INFO | Moyenne de la période
le2m | 19/12/2015 - 10:35:00 | INFO | 201512191008_g_0    3
le2m | 19/12/2015 - 10:35:00 | INFO | Période 7
le2m | 19/12/2015 - 10:35:00 | INFO | Période 7
le2m | 19/12/2015 - 10:35:00 | INFO | run_func: newperiod
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j0) Ready for period 7
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j2) Ready for period 7
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j3) Ready for period 7
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j1) Ready for period 7
le2m | 19/12/2015 - 10:35:00 | INFO | run_step: Décision
le2m | 19/12/2015 - 10:35:00 | INFO | DÉCISION
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j2): 5
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j1): 4
le2m | 19/12/2015 - 10:35:00 | INFO | Dim-Latitude-E6520 (j3): 3
le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j0): 5
le2m | 19/12/2015 - 10:35:07 | INFO | Ok Décision
le2m | 19/12/2015 - 10:35:07 | INFO | Somme des décisions
le2m | 19/12/2015 - 10:35:07 | INFO | G0: 17
le2m | 19/12/2015 - 10:35:07 | INFO | Calcul des gains de la période pour la partie CommonPoolResource
le2m | 19/12/2015 - 10:35:07 | INFO | GAINS
le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j2): 39.58
le2m | 19/12/2015 - 10:35:07 | INFO | Dim-Latitude-E6520 (j3): 33.58
